all | time (ms),all | Ca_i (mM)
5.00000000e+02,7.99311916e-05
1.00000000e+03,9.00563633e-05
1.50000000e+03,9.74149919e-05
2.00000000e+03,1.04136606e-04
2.50000000e+03,1.09504558e-04
3.00000000e+03,1.14129583e-04
3.50000000e+03,1.18417958e-04
4.00000000e+03,1.22495760e-04
4.50000000e+03,1.26072740e-04
5.00000000e+03,1.29480442e-04
5.50000000e+03,1.32782690e-04
6.00000000e+03,1.36053211e-04
6.50000000e+03,1.39061477e-04
7.00000000e+03,1.41939492e-04
7.50000000e+03,1.45022339e-04
8.00000000e+03,1.48123428e-04
8.50000000e+03,1.50978434e-04
9.00000000e+03,1.53856896e-04
9.50000000e+03,1.56621725e-04
1.00000000e+04,1.60063704e-04
1.05000000e+04,1.71238281e-04
1.10000000e+04,2.25047184e-04
1.15000000e+04,4.29342832e-04
1.20000000e+04,9.63476423e-04
1.25000000e+04,9.00123947e-04
1.30000000e+04,8.29510947e-04
1.35000000e+04,7.74985407e-04
1.40000000e+04,7.32394719e-04
1.45000000e+04,7.00470056e-04
1.50000000e+04,6.76137812e-04
1.55000000e+04,6.57768215e-04
1.60000000e+04,6.43579669e-04
1.65000000e+04,6.34282046e-04
1.70000000e+04,6.27568619e-04
1.75000000e+04,6.22806199e-04
1.80000000e+04,6.19908399e-04
1.85000000e+04,6.18780498e-04
1.90000000e+04,6.18850185e-04
1.95000000e+04,6.19868654e-04
2.00000000e+04,6.21982799e-04
2.05000000e+04,6.24802891e-04
2.10000000e+04,6.27920809e-04
2.15000000e+04,6.31857189e-04
2.20000000e+04,6.36196481e-04
2.25000000e+04,6.40821507e-04
2.30000000e+04,6.45463054e-04
2.35000000e+04,6.50879712e-04
2.40000000e+04,6.55649011e-04
2.45000000e+04,6.60987994e-04
2.50000000e+04,6.66589142e-04
2.55000000e+04,6.72231297e-04
2.60000000e+04,6.77873452e-04
2.65000000e+04,6.83446130e-04
2.70000000e+04,6.88541031e-04
2.75000000e+04,6.93659506e-04
2.80000000e+04,6.99235541e-04
2.85000000e+04,7.04838652e-04
2.90000000e+04,7.10147254e-04
2.95000000e+04,7.15028234e-04
3.00000000e+04,7.20363696e-04
3.05000000e+04,7.25223516e-04
3.10000000e+04,7.30186547e-04
3.15000000e+04,7.35037820e-04
