Experiment,subexperiment,variable,value,unit,data_ref
,,Na_e,130,mM,Belevych
,,K_e,5,mM,Belevych
,,Ca_e,1.5,mM,Belevych
,,Cl_e,140.4,mM,Belevych
,,C_m,10.9,pF,Belevych
0,0,V_m_fixed,60,mV,Belevych
1,0,V_m_fixed,-90,mV,Belevych
2,0,V_m_fixed,-80,mV,Belevych
3,0,V_m_fixed,-70,mV,Belevych
4,0,V_m_fixed,-60,mV,Belevych
5,0,V_m_fixed,-50,mV,Belevych
6,0,V_m_fixed,-40,mV,Belevych
7,0,V_m_fixed,-30,mV,Belevych
8,0,V_m_fixed,-20,mV,Belevych
9,0,V_m_fixed,-10,mV,Belevych
10,0,V_m_fixed,0,mV,Belevych
11,0,V_m_fixed,10,mV,Belevych
12,0,V_m_fixed,20,mV,Belevych
13,0,V_m_fixed,30,mV,Belevych
14,0,V_m_fixed,40,mV,Belevych
15,0,V_m_fixed,50,mV,Belevych
16,0,V_m_fixed,60,mV,Belevych
17,0,V_m_fixed,70,mV,Belevych
18,0,V_m_fixed,80,mV,Belevych
