variable_name,units,value,data_reference
NO_smc_kapela_VoltageClamp,mM,1e-16,smc_kapela_VoltageClamp_parameters.csv
NE_smc_kapela_VoltageClamp,mM,1e-16,smc_kapela_VoltageClamp_parameters.csv
R_smc_kapela_VoltageClamp,coulomb_mV_per_kelvin_mole,8314.472,smc_kapela_VoltageClamp_parameters.csv
T_smc_kapela_VoltageClamp,kelvin,293,smc_kapela_VoltageClamp_parameters.csv
F_smc_kapela_VoltageClamp,coulomb_per_mole,96485.34,smc_kapela_VoltageClamp_parameters.csv
V_m_ode_init_smc_kapela_VoltageClamp,mV,-59.4,smc_kapela_VoltageClamp_parameters.csv
V_mAMP_smc_kapela_VoltageClamp,mV,-60,smc_kapela_VoltageClamp_parameters.csv
C_m_smc_kapela_VoltageClamp,pF,25,smc_kapela_VoltageClamp_parameters.csv
V_m_t_fixed_smc_kapela_VoltageClamp,ms,10e3,smc_kapela_VoltageClamp_parameters.csv
V_m_fixed_smc_kapela_VoltageClamp,mV,60,smc_kapela_VoltageClamp_parameters.csv
K_e_smc_kapela_VoltageClamp,mM,5,smc_kapela_VoltageClamp_parameters.csv
K_i_init_smc_kapela_VoltageClamp,mM,140,smc_kapela_VoltageClamp_parameters.csv
Na_e_smc_kapela_VoltageClamp,mM,140,smc_kapela_VoltageClamp_parameters.csv
Na_i_init_smc_kapela_VoltageClamp,mM,8.4,smc_kapela_VoltageClamp_parameters.csv
Ca_e_smc_kapela_VoltageClamp,mM,2,smc_kapela_VoltageClamp_parameters.csv
Ca_i_init_smc_kapela_VoltageClamp,mM,68.0e-6,smc_kapela_VoltageClamp_parameters.csv
Cl_e_smc_kapela_VoltageClamp,mM,129,smc_kapela_VoltageClamp_parameters.csv
Cl_i_init_smc_kapela_VoltageClamp,mM,59.4,smc_kapela_VoltageClamp_parameters.csv
z_K_smc_kapela_VoltageClamp,dimensionless,1,smc_kapela_VoltageClamp_parameters.csv
z_Na_smc_kapela_VoltageClamp,dimensionless,1,smc_kapela_VoltageClamp_parameters.csv
z_Ca_smc_kapela_VoltageClamp,dimensionless,2,smc_kapela_VoltageClamp_parameters.csv
z_Cl_smc_kapela_VoltageClamp,dimensionless,-1,smc_kapela_VoltageClamp_parameters.csv
d_L_init_smc_kapela_VoltageClamp,dimensionless,0.000779,smc_kapela_VoltageClamp_parameters.csv
f_L_init_smc_kapela_VoltageClamp,dimensionless,0.871254,smc_kapela_VoltageClamp_parameters.csv
P_VOCC_smc_kapela_VoltageClamp,cm_per_s,1.88e-5,smc_kapela_VoltageClamp_parameters.csv
p_f_init_smc_kapela_VoltageClamp,dimensionless,0.00316,smc_kapela_VoltageClamp_parameters.csv
p_s_init_smc_kapela_VoltageClamp,dimensionless,0.00316,smc_kapela_VoltageClamp_parameters.csv
cGMP_init_smc_kapela_VoltageClamp,mM,0,smc_kapela_VoltageClamp_parameters.csv
dV_50KCacGMP_smc_kapela_VoltageClamp,mV,76,smc_kapela_VoltageClamp_parameters.csv
dV_50KCaNO_smc_kapela_VoltageClamp,mV,46.3,smc_kapela_VoltageClamp_parameters.csv
N_BKCa_smc_kapela_VoltageClamp,per_cm_2,6.6e+6,smc_kapela_VoltageClamp_parameters.csv
P_BKCa_smc_kapela_VoltageClamp,cm_3_per_s,3.9e-13,smc_kapela_VoltageClamp_parameters.csv
tau_pf_smc_kapela_VoltageClamp,ms,0.84,smc_kapela_VoltageClamp_parameters.csv
tau_ps_smc_kapela_VoltageClamp,ms,35.9,smc_kapela_VoltageClamp_parameters.csv
g_Kv_smc_kapela_VoltageClamp,nS,1.35,smc_kapela_VoltageClamp_parameters.csv
p_K_init_smc_kapela_VoltageClamp,dimensionless,0.03817,smc_kapela_VoltageClamp_parameters.csv
q_1_init_smc_kapela_VoltageClamp,dimensionless,0.79991,smc_kapela_VoltageClamp_parameters.csv
q_2_init_smc_kapela_VoltageClamp,dimensionless,0.7991,smc_kapela_VoltageClamp_parameters.csv
tau_q1_smc_kapela_VoltageClamp,ms,371,smc_kapela_VoltageClamp_parameters.csv
tau_q2_smc_kapela_VoltageClamp,ms,2884,smc_kapela_VoltageClamp_parameters.csv
cnst_tau_pk_exp_smc_kapela_VoltageClamp,dimensionless,0.0268,smc_kapela_VoltageClamp_parameters.csv
cnst_tau_pK_coef_smc_kapela_VoltageClamp,dimensionless,61.49,smc_kapela_VoltageClamp_parameters.csv
cnst_qbar_V_m_smc_kapela_VoltageClamp,dimensionless,40,smc_kapela_VoltageClamp_parameters.csv
cnst_qbar_divide_smc_kapela_VoltageClamp,dimensionless,14,smc_kapela_VoltageClamp_parameters.csv
cnst_pbar_K_V_m_smc_kapela_VoltageClamp,dimensionless,11,smc_kapela_VoltageClamp_parameters.csv
cnst_pbar_K_div_smc_kapela_VoltageClamp,dimensionless,15,smc_kapela_VoltageClamp_parameters.csv
g_Kleak_smc_kapela_VoltageClamp,nS,0.067,smc_kapela_VoltageClamp_parameters.csv
P_NaNSC_smc_kapela_VoltageClamp,cm_per_s,5.11e-7,smc_kapela_VoltageClamp_parameters.csv
dmin_NSC_smc_kapela_VoltageClamp,dimensionless,0.0244,smc_kapela_VoltageClamp_parameters.csv
K_NSC_smc_kapela_VoltageClamp,mM,3e-3,smc_kapela_VoltageClamp_parameters.csv
tau_SOC_smc_kapela_VoltageClamp,ms,100,smc_kapela_VoltageClamp_parameters.csv
K_SOC_smc_kapela_VoltageClamp,mM,1e-4,smc_kapela_VoltageClamp_parameters.csv
g_CaSOC_smc_kapela_VoltageClamp,nS,0.0083,smc_kapela_VoltageClamp_parameters.csv
P_SOC_init_smc_kapela_VoltageClamp,dimensionless,0,smc_kapela_VoltageClamp_parameters.csv
g_NaSOC_smc_kapela_VoltageClamp,nS,0.0575,smc_kapela_VoltageClamp_parameters.csv
n_ClcGMP_smc_kapela_VoltageClamp,dimensionless,3.3,smc_kapela_VoltageClamp_parameters.csv
K_ClcGMP_smc_kapela_VoltageClamp,mM,6.4e-3,smc_kapela_VoltageClamp_parameters.csv
Rmin_ClcGMP_smc_kapela_VoltageClamp,dimensionless,0.0132,smc_kapela_VoltageClamp_parameters.csv
n_ClCa_smc_kapela_VoltageClamp,dimensionless,2,smc_kapela_VoltageClamp_parameters.csv
K_ClCa_smc_kapela_VoltageClamp,mM,3.65e-4,smc_kapela_VoltageClamp_parameters.csv
g_ClCa_smc_kapela_VoltageClamp,nS_per_pF,0.23,smc_kapela_VoltageClamp_parameters.csv
Ibar_PMCA_smc_kapela_VoltageClamp,pA,5.37,smc_kapela_VoltageClamp_parameters.csv
K_mPMCa_smc_kapela_VoltageClamp,mM,1.7e-4,smc_kapela_VoltageClamp_parameters.csv
g_NCX_smc_kapela_VoltageClamp,pA,0.000487,smc_kapela_VoltageClamp_parameters.csv
d_NCX_smc_kapela_VoltageClamp,dimensionless,0.0003,smc_kapela_VoltageClamp_parameters.csv
