variable_name,units,value,data_reference
R_smc_kapela,coulomb_mV_per_kelvin_mole,8314.472,kapela_data
T_smc_kapela,kelvin,293,kapela_data
F_smc_kapela,coulomb_per_mole,96485.34,kapela_data
V_m_init_smc_kapela,mV,-59.4,kapela_data
C_m_smc_kapela,pF,25,kapela_data
K_e_smc_kapela,mM,5,kapela_data
K_i_init_smc_kapela,mM,140,kapela_data
Na_e_smc_kapela,mM,140,kapela_data
Na_i_init_smc_kapela,mM,8.4,kapela_data
Ca_e_smc_kapela,mM,2,kapela_data
Ca_i_init_smc_kapela,mM,68.0e-6,kapela_data
Cl_e_smc_kapela,mM,129,kapela_data
Cl_i_init_smc_kapela,mM,59.4,kapela_data
z_K_smc_kapela,dimensionless,1,kapela_data
z_Na_smc_kapela,dimensionless,1,kapela_data
z_Ca_smc_kapela,dimensionless,2,kapela_data
z_Cl_smc_kapela,dimensionless,-1,kapela_data
d_L_init_smc_kapela,dimensionless,0.000779,kapela_data
f_L_init_smc_kapela,dimensionless,0.871254,kapela_data
P_VOCC_smc_kapela,cm_per_s,1.88e-5,kapela_data
p_f_init_smc_kapela,dimensionless,0.00316,kapela_data
p_s_init_smc_kapela,dimensionless,0.00316,kapela_data
cGMP_init_smc_kapela,mM,0,kapela_data
dV_50KCacGMP_smc_kapela,mV,76,kapela_data
dV_50KCaNO_smc_kapela,mV,46.3,kapela_data
N_BKCa_smc_kapela,per_cm_2,6.6e+6,kapela_data
tau_pf_smc_kapela,ms,0.84,kapela_data
tau_ps_smc_kapela,ms,35.9,kapela_data
P_BKCa_smc_kapela,cm_3_per_s,3.9e-13,kapela_data
g_Kv_smc_kapela,nS,1.35,kapela_data
p_K_init_smc_kapela,dimensionless,0.03817,kapela_data
q_1_init_smc_kapela,dimensionless,0.79991,kapela_data
q_2_init_smc_kapela,dimensionless,0.7991,kapela_data
tau_q1_smc_kapela,ms,371,kapela_data
tau_q2_smc_kapela,ms,2884,kapela_data
g_Kleak_smc_kapela,nS,0.067,kapela_data
P_NaNSC_smc_kapela,cm_per_s,5.11e-7,kapela_data
dmin_NSC_smc_kapela,dimensionless,0.0244,kapela_data
K_NSC_smc_kapela,mM,3e-3,kapela_data
tau_SOC_smc_kapela,ms,100,kapela_data
K_SOC_smc_kapela,mM,1e-4,kapela_data
g_CaSOC_smc_kapela,nS,0.0083,kapela_data
