variable_name,units,value,data_reference
K_2_smc_kapela,per_ms,0.5e-3,kapela_data
K_3_smc_kapela,per_ms,0.4e-3,kapela_data
K_4_smc_kapela,per_ms,0.1e-3,kapela_data
K_5_smc_kapela,per_ms,0.5e-3,kapela_data
K_7_smc_kapela,per_ms,0.1e-3,kapela_data
gamma_smc_kapela,per_mM_3_s,17e6,kapela_data
alpha_Ca_smc_kapela,dimensionless,0.24,kapela_data
K_CaCaM_smc_kapela,per_mM,1.78e-4,kapela_data
P_BKCa_smc_kapela,cm_3_per_s,3.9e-13,kapela_data
g_Kv_smc_kapela,nS,1.35,kapela_data
g_Kleak_smc_kapela,nS,0.067,kapela_data
g_CaSOC_smc_kapela,nS,0.0083,kapela_data
g_NaSOC_smc_kapela,nS,0.0575,kapela_data
dV_50KCacGMP_smc_kapela,mV,76,kapela_data
dV_50KCaNO_smc_kapela,mV,46.3,kapela_data
K_e_smc_kapela,mM,5,kapela_data
K_NSC_smc_kapela,mM,3e-3,kapela_data
K_SOC_smc_kapela,mM,1e-4,kapela_data
K_ClcGMP_smc_kapela,mM,6.4e-3,kapela_data
K_ClCa_smc_kapela,mM,3.65e-4,kapela_data
K_mPMCa_smc_kapela,mM,1.7e-4,kapela_data
K_dKe_smc_kapela,mM,1.6,kapela_data
K_IP3_smc_kapela,mM,1.2e-04,kapela_data
Kinh_IP3_smc_kapela,mM,1e-04,kapela_data
Kup_m_smc_kapela,mM,1e-3,kapela_data
K_CSQN_smc_kapela,mM,0.8,kapela_data
K_mpde_smc_kapela,mM,1e-3,kapela_data
K_dCM_smc_kapela,mM,2.60e-4,kapela_data
K_dB_smc_kapela,mM,5.298e-4,kapela_data
