environment | time (ms),all | Ca_i (mM)
895.0830844,6.67869E-05
1912.374566,6.2189E-05
2928.731896,6.22039E-05
3945.089225,6.22189E-05
4961.446555,6.22338E-05
5977.803884,6.22488E-05
6994.161214,6.22637E-05
8010.518543,6.22787E-05
9026.875873,6.22936E-05
10042.92182,6.38462E-05
11057.09946,7.46244E-05
11561.8529,9.15456E-05
11813.76255,0.000102313
12064.73804,0.000117693
12315.71353,0.000133072
12567.00041,0.000146915
13065.52617,0.000194588
13068.01724,0.000182287
13070.50831,0.000169986
13072.688,0.000159223
13536.33875,0.000379109
13538.82983,0.000366808
13541.3209,0.000354508
13543.81197,0.000342207
13546.30304,0.000329906
13548.79411,0.000317605
13551.28519,0.000305304
13553.77626,0.000293003
13556.26733,0.000280702
13558.7584,0.000268401
13561.24947,0.0002561
13563.74055,0.000243799
13566.23162,0.000231498
13568.72269,0.000219197
13570.90238,0.000208434
14041.40358,0.000394493
14193.98173,0.000895759
14196.4728,0.000883458
14198.96388,0.000871157
14201.45495,0.000858856
14242.55763,0.000655891
14245.04871,0.00064359
14247.53978,0.000631289
14250.03085,0.000618988
14252.52192,0.000606687
14255.01299,0.000594387
14257.50407,0.000582086
14259.99514,0.000569785
14262.48621,0.000557484
14264.97728,0.000545183
14267.46835,0.000532882
14269.95943,0.000520581
14272.4505,0.00050828
14274.94157,0.000495979
14277.43264,0.000483678
14279.92371,0.000471377
14282.41478,0.000459077
14284.90586,0.000446776
14287.39693,0.000434475
14289.888,0.000422174
14292.37907,0.000409873
14459.28089,0.000840409
14461.77196,0.000828108
14464.26303,0.000815807
14466.7541,0.000803506
14469.24518,0.000791205
14471.73625,0.000778904
14474.22732,0.000766603
14476.71839,0.000754302
14479.20946,0.000742001
14481.70054,0.0007297
14484.19161,0.000717399
14486.68268,0.000705099
14489.17375,0.000692798
14491.66482,0.000680497
14494.15589,0.000668196
15257.66943,0.000662057
15260.1605,0.000649756
15262.65157,0.000637455
15265.14264,0.000625154
15267.63372,0.000612853
15270.12479,0.000600552
15272.61586,0.000588251
15275.10693,0.00057595
15277.598,0.000563649
15280.08907,0.000551348
15281.95738,0.000542123
15806.32801,0.000462174
16046.71645,0.000529833
16049.20752,0.000517532
16051.69859,0.000505231
16054.18966,0.00049293
16056.68074,0.000480629
16059.17181,0.000468328
16571.70985,0.000446809
16574.20092,0.000434508
16576.38061,0.000423745
16579.18306,0.000409906
16581.36275,0.000399143
17345.18767,0.000391466
17347.67874,0.000379165
17349.54704,0.00036994
17606.43883,0.000356105
17863.33062,0.00034227
17866.44446,0.000326894
18376.49143,0.000317676
18633.6946,0.000302303
19229.68355,0.000286936
20164.45828,0.000271574
20421.66145,0.000256201
20678.24185,0.000243904
21696.46749,0.000234693
22713.75897,0.000230095
23730.73906,0.000227035
24745.22809,0.000236276
24748.03055,0.000222437
25763.14234,0.000228603
26778.8769,0.000231693
27793.9887,0.000237858
28810.03464,0.000239411
29824.83505,0.000247114
30840.25823,0.000251741
31855.99279,0.000254832
32871.41597,0.000259459
33887.7733,0.000259474
34904.13063,0.000259489
35920.48796,0.000259504
36936.84529,0.000259519
37953.20261,0.000259534
38968.62579,0.000264162
39984.67174,0.000265715
41000.4063,0.000268805
42017.3864,0.000265744
43033.12096,0.000268835
44049.47829,0.00026885
45065.83562,0.000268864
46082.19295,0.000268879
47098.55028,0.000268894
48114.90761,0.000268909
49131.26494,0.000268924
50147.62227,0.000268939
51163.97959,0.000268954
52180.33692,0.000268969
53196.69425,0.000268984
54213.05158,0.000268999
55229.40891,0.000269014
56245.76624,0.000269029
57262.12357,0.000269044
58278.4809,0.000269059
59295.461,0.000265999
60311.50694,0.000267551
61328.17566,0.000266028
62343.91022,0.000269119
63360.26755,0.000269134
64376.93626,0.000267611
65394.53913,0.000261475
66411.20784,0.000259953
67427.56517,0.000259968
68443.9225,0.000259983
69460.27983,0.000259998
70477.8827,0.000253862
70988.86382,0.000240031
70991.66627,0.000226192
71502.33601,0.000213899
71504.82708,0.000201598
72270.83169,0.000183158
72527.72347,0.000169323
73039.95013,0.000149342
73297.1533,0.000133969
73553.42232,0.00012321
74571.95934,0.000112461
74573.82765,0.000103236
75592.05328,9.40249E-05
76610.27891,8.48141E-05
77628.50455,7.56034E-05
78644.86187,7.56183E-05
79661.53059,7.40957E-05
80678.1993,7.2573E-05
81694.55663,7.2588E-05
82710.29119,7.56781E-05
83726.95991,7.41555E-05
84743.62862,7.26328E-05
85759.98595,7.26477E-05
86775.72051,7.57379E-05
87792.38922,7.42152E-05
88809.05794,7.26926E-05
89825.10388,7.42451E-05
90841.14983,7.57977E-05
91857.81854,7.4275E-05
92874.48726,7.27524E-05
93890.5332,7.43049E-05
94906.57915,7.58575E-05
95923.24786,7.43348E-05
96939.91657,7.28121E-05
97955.96252,7.43647E-05
98972.00847,7.59173E-05
99734.27646,7.59285E-05
